,month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall
471,2021-04,83.8,14.0,290.4
472,2021-05,49.8,13.0,245.8
473,2021-06,23.8,20.0,93.4
474,2021-07,75.0,12.0,195.8
475,2021-08,71.4,24.0,293.6
476,2021-09,63.4,14.0,205.4
477,2021-10,59.6,14.0,177.0
478,2021-11,47.8,23.0,312.4
479,2021-12,46.8,15.0,119.6
480,2022-01,50.0,9.0,99.8
481,2022-02,29.6,16.0,175.0
482,2022-03,36.2,21.0,163.2
483,2022-04,58.8,18.0,239.6
484,2022-05,44.6,12.0,102.0
485,2022-06,59.4,17.0,211.8
486,2022-07,27.8,16.0,145.2
487,2022-08,32.4,15.0,141.4
488,2022-09,38.2,,
489,2022-10,38.8,,
490,2022-11,53.0,,
